title,image,description
"Magali, la reconstruction d’une mère célibataire : « Une marche après l’autre, on repart de zéro »",https://img.lemde.fr/2024/11/20/187/0/4500/3000/110/73/60/0/6edf1fe_1732112288599-photo-poissy-loubat-29.jpg,"« Portraits de familles ». Après un divorce qui l’a laissée exsangue, Magali a trouvé un toit dans une résidence réservée aux familles monoparentales. Ses deux adolescents ont chacun leur chambre, et le trio partage cuisine et lieux de vie avec les autres résidents."
"La cote d’amour des love rooms, ces locations érotiques qui fleurissent en France",https://img.lemde.fr/2024/11/12/0/0/4800/3200/110/73/60/0/f2f8412_1731420180475-maxnewsworldsix114199.jpg,"Depuis la fin du confinement, le nombre de ces hébergements de courte durée, qui surfent sur la promesse d’une meilleure rentabilité qui n’est pas toujours au rendez-vous, a bondi."
Peut-on intervenir dans les fréquentations de nos enfants ?,https://img.lemde.fr/2024/11/21/0/0/2784/1856/110/73/60/0/3583936_1732196714336-fromont-21.jpg,"Peut-on leur interdire de voir leurs amis au prétexte qu’ils nous déplaisent ? Dans la newsletter « Darons Daronnes », Clara Georges considère que la bonne frontière est celle de la mise en danger, qu’elle soit psychique ou physique."
Cinq films et séries à regarder avec les enfants ce week-end,https://img.lemde.fr/2024/11/19/0/0/3543/2362/110/73/60/0/ee9173d_1732024160793-pns-5090199.jpg,"Envie de rester au chaud chez vous, en famille ? On vous conseille, entre autres, « Monster House », film d’horreur au cœur tendre, « Le Retour de Mary Poppins » sous les traits d’Emily Blunt ou « Les 400 Coups », de François Truffaut, pour la joie de (re)découvrir Antoine Doisnel."
"Avec mon premier salaire, « j’ai acheté un iPhone, mis 1 000 euros sur mon Livret A et gardé le reste pour sortir »",https://img.lemde.fr/2023/04/17/0/0/3000/2000/110/73/60/0/711be0f_1681718659473-iii.jpg,Les jeunes adultes se souviennent souvent avec précision de comment ils ont dépensé leurs premières paies. Et du choc ressenti quand ils ont acquis leur indépendance financière.
"Au p’tit bonheur : « Je ne suis pas heureux. Alors je m’abrutis, je me noie dans Facebook, je regarde les filles, les blagues idiotes, je mange »",https://img.lemde.fr/2024/11/19/3/0/4240/2826/110/73/60/0/36a5943_1732019048191-dsc00778.JPG,"Pour cette série, la journaliste et réalisatrice Stefania Rousselle part sur les routes de France, avec une question simple : « Comment allez-vous ?  » Cette semaine, Matahiarii Teinauri, 40 ans, étancheur à Eyrein, en Corrèze."
« Nous demandons l’adoption d’un protocole national garantissant l’anonymat des lanceurs d’alerte dans le domaine de la protection des enfants »,https://img.lemde.fr/2021/10/06/746/0/3953/2635/110/73/60/0/72d31ff_482874980-pns-202866.jpg,"Médecins, enseignants et travailleurs sociaux sont souvent conduits à agir pour protéger des enfants en danger, mais ils s’exposent ainsi à des représailles de l’entourage familial. Davantage doit être fait pour les protéger, estime un collectif de soignants, ainsi que les dirigeantes du mouvement citoyen Les Voies."
Argent : « La moitié des 16-24 ans estiment que la façon de placer son épargne peut avoir un impact sur la société »,https://img.lemde.fr/2023/05/03/0/0/3000/2000/110/73/60/0/780fea1_1683120136830-lmargent1.jpg,"Un peu plus que les autres, les jeunes pensent pouvoir changer ce qui ne va pas dans la société. D’abord par leur consommation et leur vote, mais aussi par le choix de la banque, note le dernier Observatoire du Sens de l’argent."
"Préservatifs, en mettre ou pas ? Le port de la capote s’érode chez les jeunes",https://img.lemde.fr/2024/11/18/64/0/1600/1066/110/73/60/0/6650c0c_1731936445159-ma-episode-6.jpg,"Les moins de 30 ans représentent l’une des populations les plus à risque de transmission des infections sexuellement transmissibles. Pourtant, selon la dernière enquête de l’Inserm et de l’ANRS,  l’usage du préservatif lors du premier rapport sexuel a diminué entre 2019 et 2023."
Quand un don est taxé trois décennies plus tard,https://img.lemde.fr/2023/05/03/0/0/3000/2000/110/73/60/0/d01e012_1683120111391-lmargent9.jpg,"Un tribunal juge que « Le Concert », de Gerrit van Honthorst, a fait l’objet d’un don manuel, dont la révélation, même forcée, doit générer une taxation."
Goûters fessées et ateliers d’initiation à l’érotisme « ou-ou-ouille » : quand les pratiques BDSM se démocratisent,https://img.lemde.fr/2024/11/13/294/0/1648/1098/110/73/60/0/8fecec2_1731488470575-intimite-ma-05.jpg,"Jadis sulfureuses, les pratiques de bondage, de domination et sado-masochiste se transmettent désormais lors d’ateliers d’initiation à l’érotisme « ou-ou-ouille », touchant un plus large public. Au risque de perdre leur dimension transgressive ?"
"Laure Saint-Raymond, mathématicienne : « En sciences comme avec ses enfants, on passe son temps à se tromper »",https://img.lemde.fr/2024/11/11/0/0/4000/2666/110/73/60/0/fa8e0e1_1731335340723-20240701-ihes-portraits-cs-a-christophe-peus-0243.JPG,"« Vie de parents ». Une personnalité évoque les joies et les épreuves de son quotidien avec des enfants. La professeure et mère de six enfants raconte les plaisirs de la famille nombreuse, où la musique tient une place centrale pour s’exprimer."
Racontez-nous un moment de grand bonheur,https://img.lemde.fr/2024/11/14/0/0/5616/3744/110/73/60/0/a96b13a_1731600063143-pns-3239298.jpg,"Un événement, une conversation, une rencontre ou un « petit rien »… Parlez-nous de la dernière fois où vous avez ressenti une joie intense."
"Ma vie d’ado : « J’ai compris que ma mère était amoureuse et que je ne pouvais rien y faire, et mon père malheureux, mais que ça allait passer »",https://img.lemde.fr/2024/11/07/0/0/3000/2000/110/73/60/0/302da28_1730980525613-vie-d-ado-melissandre-zoevadim-illu-final0.jpg,"On n’est pas sérieux quand on a 17 ans… Pas si sûr. « Le Monde » donne la parole à de jeunes gens qui évoquent leurs états d’âme, leurs envies, leurs difficultés. A 15 ans, Mélissandre, qui vit en Bretagne, regrette d’avoir dû se substituer à ses parents auprès de ses jeunes frères après leur séparation."
Ces couples qui préfèrent faire l’amour sans pénétration,https://img.lemde.fr/2024/11/12/70/0/1586/1057/110/73/60/0/1ad2aea_1731435624444-intimite-ma-04.jpg,Les pratiques sexuelles non pénétratives sont en forte hausse chez les Français. Des jeunes racontent pourquoi ils ont mis de côté le coït au profit d’autres pratiques.
Un apéro avec Erika Lust : « Porno féministe ne veut pas dire porno pour femmes »,https://img.lemde.fr/2024/11/11/229/0/5500/3666/110/73/60/0/9b2dbe1_1731341388899-jrc24-lmd-9530.jpg,"Chaque semaine, « L’Epoque » paie son coup. Entre expo arty, plateforme éducative sur la sexualité et films engagés, la réalisatrice propose une vision du X sans stéréotype de genre. Champagne !"
Devient-on plus sensible en vieillissant ?,https://img.lemde.fr/2024/11/13/0/51/4528/3019/110/73/60/0/b86529c_1731511260665-p1990065.jpg,"Pleurer devant un dessin animé, s’émouvoir devant un paysage… Qu’est-ce qui met à fleur de peau les parents ?, s’interroge Clara Georges pour la newsletter « Darons Daronnes »."
Comment préparer nos écoles à la canicule ?,https://img.lemde.fr/2024/11/12/0/23/4323/2882/110/73/60/0/7ebc8a1_1731401277677-2-color-1.jpg,"« Chaud devant ». Les vagues de chaleur sont un nouvel ennemi pour les apprentissages académiques. Pour éviter la surchauffe au cerveau des enfants, il faut adapter les bâtiments scolaires. Certains parents souhaiteraient s’emparer du sujet mais se mêler de tels chantiers leur semble insurmontable. Il s’agit donc de trouver des solutions sans brusquer les autorités compétentes."
